Complexity,Loss,Equation
1,0.003375988,"0.10420548"
3,0.0029929716,"(0.24897707 / x2)"
4,0.0027485415,"(0.094048485 + erfc(x2))"
5,0.002594342,"((0.1514713 / x2) + 0.046075393)"
6,0.002190792,"(0.054537036 * exp(x3 / x2))"
7,0.0020391569,"(0.30635345 / (x2 + erfc(exp(x0))))"
8,0.001381163,"(0.31962344 / (erfc(x3 + x0) + x2))"
9,0.0011360551,"(0.326145 / (square(erfc(x3 + x0)) + x2))"
10,0.0009732017,"(0.35582286 / (x2 + erfc(x0 / (1.1230619 + x1))))"
11,0.00062078197,"(0.35964024 / (x2 + square(erfc(x0 / (x1 + x2)))))"
12,0.000504487,"(0.42676842 / (x2 + square(((x0 + -0.8331572) * -0.78361654) + x1)))"
13,0.0002861322,"(0.3692428 / (x2 + square(square((x0 + (-0.8418601 * x1)) / x2))))"
14,0.00012572842,"(0.36802745 / (x2 + square(((x0 + (-1.0763685 * x1)) / x2) + -0.46697566)))"
15,4.2372034e-5,"(0.36802745 / (x2 + square(square(((x0 + (-1.0578916 * x1)) / x2) + -0.2585475))))"
17,4.161276e-5,"(0.3686335 / (x2 + square(square(((x0 + (-1.0578916 * x1)) / x2) + -0.262849) + 0.024185736)))"
18,3.611641e-5,"(0.3692428 / (x2 + (square(square(((x0 + (-1.0578916 * x1)) / x2) + -0.25909814)) + erfc(x3))))"
20,3.474631e-5,"(0.36802745 / (x2 + (square(square(((x0 + (-1.0727127 * x1)) / x2) + -0.262849)) + (erfc(x3) + -0.031197263))))"
