Complexity,Loss,Equation
1,0.003375988,"0.104211375"
3,0.0029929716,"(0.24897704 / x2)"
4,0.0027485415,"(erfc(x2) + 0.094048485)"
5,0.0025943415,"((0.15146957 / x2) + 0.046074245)"
6,0.0024570469,"(0.34409204 / (x2 + erfc(x0)))"
7,0.0020391569,"(0.30635345 / (x2 + erfc(exp(x0))))"
8,0.0013811631,"(0.3196494 / (x2 + erfc(x0 + x3)))"
9,0.0011360551,"(0.326145 / (x2 + square(erfc(x0 + x3))))"
10,0.00096567353,"(0.36477146 / (x2 + erfc(x0 / (1.1245521 + x1))))"
11,0.0006207819,"(0.35964084 / (x2 + square(erfc(x0 / (x2 + x1)))))"
12,0.0005256651,"(0.437973 / (x2 + (square(x0 + (-0.8700463 * x1)) / x2)))"
13,0.00028613218,"(0.36924228 / (x2 + square(square((x0 + (-0.8418693 * x1)) / x2))))"
14,0.00012647193,"(0.36628184 / (x2 + square(((x0 + (-1.0564477 * x1)) / x2) + -0.4489486)))"
15,4.2449417e-5,"(0.36477146 / (x2 + square(square(((x0 + (-1.0564477 * x1)) / x2) + -0.25923952))))"
16,3.1991724e-5,"(0.36884105 / (x2 * exp(square(x0 + ((-1.050436 * x1) + -0.71760607)) / exp(x2))))"
17,2.042357e-5,"(0.38616407 / (x2 * exp(square((x0 + (-1.1184213 * (x1 + 0.5874707))) / x2) * 0.46857867)))"
19,1.9830653e-5,"(0.38616407 / (x2 * exp(square(((x0 + -0.15943505) + (-1.1240551 * (x1 + 0.4705628))) / x2) * 0.4705628)))"
20,1.396431e-5,"(0.38616407 / ((x2 + erfc(x2)) * exp(square((x0 + (-1.030777 * (x1 + 0.56015414))) / x2) * 0.46857867)))"
