Complexity,Loss,Equation
1,0.10554086,"0.57713723"
3,0.07978748,"(0.2662933 * x2)"
4,0.07259067,"exp(-1.0303296 / x2)"
5,0.06881616,"((-0.7012743 / x2) + 0.98153037)"
6,0.06706155,"((-0.52405506 / square(x2)) + 0.7905361)"
7,0.06594713,"((-6.745403 / exp(exp(x2))) + 0.70319986)"
8,0.06593558,"((-1.204872 / exp(square(square(x2)))) + 0.701235)"
9,0.03765346,"(0.2662933 * (x2 + ((x1 * 0.28609085) * x0)))"
10,0.037652567,"(0.2662933 * (x2 + ((x1 / exp(1.2586313)) * x0)))"
11,0.0010758047,"exp(square((x0 + (-0.9772957 * x1)) / x2) * -0.5643709)"
13,3.9474912e-7,"(exp(square((x0 + (-0.9999905 * x1)) / x2) * -0.49843702) * x3)"
15,5.216721e-11,"(exp(square((x0 + (-0.99999 * x1)) / x2) * (0.034855865 + -0.5348746)) * x3)"
16,1.4640074e-11,"(square(exp(square((x0 + (-0.9999905 * x1)) / (x2 + x2)) * -0.9999905)) * x3)"
17,8.3560155e-12,"(exp((square(x0 + (-0.9999905 * x1)) / -0.9999905) / (square(x2) + square(x2))) * x3)"
