Complexity,Loss,Equation
1,0.10165027,"0.64530635"
2,0.10165026,"exp(-0.43804723)"
5,0.088948525,"((2.3811026 + x2) * 0.1408627)"
7,0.05934305,"(0.6452992 + ((0.07671987 * x0) * x1))"
9,0.04644065,"(0.45802817 + (((x0 * x1) + x2) * 0.08512239))"
10,0.046440385,"(((exp(1.6795337) + (x0 * x1)) + x2) * 0.085322)"
11,0.045733042,"(0.35037553 + (0.08085033 * ((x0 * x1) + (x2 + x2))))"
12,0.042218067,"(((exp(1.1508912) + x2) + ((x0 * x1) + x2)) * 0.08533144)"
13,0.04203491,"(0.35037553 + (0.08085033 * (((x0 * x1) + x2) + (x2 + -0.75216))))"
17,0.029711414,"square(((x0 * (x1 + (-0.55467534 * x0))) + (square(exp(square(1.1761527))) + x2)) * -0.04747258)"
18,0.026488414,"square(((x0 * x1) + (square(exp(square(1.1761527))) + ((square(x0) * -0.61530745) + x2))) * 0.04918209)"
19,0.024817381,"((((((x0 * x1) + exp(1.7381306)) + (-0.59027624 * square(x0))) + (x2 + x2)) * 0.04918209) * 1.7381306)"
