Complexity,Loss,Equation
1,0.10165027,"0.6453071"
2,0.10165026,"exp(-0.43804735)"
4,0.08767905,"exp(-0.8360002 / x2)"
5,0.08767904,"square(exp(-0.41801077 / x2))"
6,0.087601356,"exp((-0.7341978 / x2) + -0.049581032)"
7,0.07026164,"exp(-0.15432203 / exp(x0 * x1))"
9,0.04446728,"exp(-0.2865851 / exp((x0 / x2) * x1))"
10,0.039743055,"exp(-2.3525612 / square((square(x2) / x0) + x1))"
11,0.036421895,"exp(-0.7394231 / (exp((x0 * 0.28882733) * x1) * x2))"
12,0.034213383,"(exp(-1.8887415 / square((square(x2) / x0) + x1)) * 0.91108614)"
13,0.02512667,"exp(-0.16226792 / exp((x0 / x2) * (x1 + (x0 / -2.16642))))"
15,0.020791836,"exp(-0.16226792 / square(exp((x0 / square(x2)) * (x1 + (x0 / -2.16642)))))"
16,0.019575637,"square(exp((-0.16226792 / x2) / exp((x0 / x2) * (x1 + (x0 / -2.16642)))))"
17,0.017688518,"exp(-0.48319975 / (exp((x0 / x2) * (x1 + (-0.48319975 / (x2 / x0)))) * x2))"
18,0.015919475,"square(exp((-0.16226792 / x2) / exp(((x0 + -0.5003062) / x2) * (x1 + (x0 / -2.16642)))))"
20,0.013548723,"exp(-0.16226792 / exp((x0 / x2) * (x1 + (((square(x1) / (x0 * x2)) + x0) / -2.16642))))"
